Date : 2026-07-26 01:17:34
Directory : c:\Users\Public\Nandu\project-astra
Total : 93 files,  21693 codes, 98 comments, 17104 blanks, all 38895 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\components\EditLetterModal.tsx        | TypeScript JSX     |        235 |          0 |        317 |        552 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\components\EditStoryModal.tsx         | TypeScript JSX     |        224 |          0 |        291 |        515 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\components\GlobalKissCounter.tsx      | TypeScript JSX     |        507 |          0 |        528 |      1,035 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\components\HomeButton.tsx             | TypeScript JSX     |         34 |          0 |          4 |         38 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\components\IcarusKissCounter.tsx      | TypeScript JSX     |        161 |          0 |        220 |        381 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\components\IntroSequence.tsx          | TypeScript JSX     |         38 |          0 |          7 |         45 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\components\KissCounter.tsx            | TypeScript JSX     |        449 |          0 |        473 |        922 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\components\LetterModal.tsx            | TypeScript JSX     |        220 |          1 |        274 |        495 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\components\LightBloom.tsx             | TypeScript JSX     |         76 |          3 |          4 |         83 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\components\MessageBubble.tsx          | TypeScript JSX     |         52 |          0 |          3 |         55 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\components\MessageInput.tsx           | TypeScript JSX     |         51 |          0 |         11 |         62 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\components\Meteor.tsx                 | TypeScript JSX     |         77 |          6 |          8 |         91 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\components\Nebula.tsx                 | TypeScript JSX     |          6 |          0 |          1 |          7 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\components\NotificationBell.tsx       | TypeScript JSX     |        343 |          0 |        618 |        961 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\components\PremiumUnlockModal.tsx     | TypeScript JSX     |        167 |          1 |        196 |        364 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\components\ShootingStar.tsx           | TypeScript JSX     |         28 |          0 |          2 |         30 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\components\Star.tsx                   | TypeScript JSX     |        173 |          6 |         28 |        207 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\components\StarField.tsx              | TypeScript JSX     |         62 |          0 |          7 |         69 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\components\StardustCounter.tsx        | TypeScript JSX     |         35 |          0 |         36 |         71 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\components\Title.tsx                  | TypeScript JSX     |        216 |          0 |         51 |        267 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\components\UniverseMap.tsx            | TypeScript JSX     |        168 |          2 |        134 |        304 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\components\VerificationSuccess.tsx    | TypeScript JSX     |        169 |          2 |        110 |        281 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\components\meteor\MeteorCanvas.tsx    | TypeScript JSX     |         84 |          1 |         27 |        112 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\components\meteor\Physics.ts          | TypeScript         |         62 |          0 |         18 |         80 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\components\meteor\Renderer.ts         | TypeScript         |        200 |         25 |         56 |        281 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\components\meteor\types.ts            | TypeScript         |         28 |          0 |         12 |         40 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\config\starUsers.ts                   | TypeScript         |          4 |          0 |          1 |          5 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\context\CosmicContext.tsx             | TypeScript JSX     |         39 |          0 |          9 |         48 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\firebase\firebaseConfig.ts            | TypeScript         |         14 |          2 |          8 |         24 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\index.css                             | PostCSS            |          8 |          0 |          2 |         10 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\layouts\UniverseLayout.tsx            | TypeScript JSX     |        101 |          0 |        174 |        275 |
